Customer_ID,Voice_Plan_ID,Broadband_Plan_Id,Streaming_ID,Invoice_Due_Date,Invoice_Date,No_Calls,No_Minutes,Roaming_Minutes,Total_Call_Charge,No_Extra_Channel_Subscription,Extra_Channel_Chargers,Total_Streaming_Charge,Extra_Data_GB_Used,Extra_Data_Charge,Total_Broadband_Charge,Service_Charge,Due_Charges,Paperless_Billing,Payment_Method
0107-YHINA,V004,B004,S003,3/30/2023,1/30/2023,17,41,42,243,2,30,330,0,0,600,150,1323,Yes,Bank Withdrawal
0111-KLBQG,V001,B004,S001,3/30/2023,1/30/2023,14,32,33,186,7,105,405,0,0,600,150,1341,Yes,Mailed Check
0112-QAWRZ,V001,B003,S004,3/30/2023,1/30/2023,16,49,50,372,0,0,300,0,0,600,150,1422,Yes,Bank Withdrawal
0112-QWPNC,V002,B003,S003,3/30/2023,1/30/2023,13,40,41,300,7,105,405,0,0,600,150,1455,No,Bank Withdrawal
0114-IGABW,V004,B001,S003,3/30/2023,1/30/2023,0,,,0,9,135,435,0,0,600,150,1185,No,Bank Withdrawal
0114-PEGZZ,V004,B003,S001,3/30/2023,1/30/2023,21,50,51,315,6,90,390,0,0,600,150,1455,No,Bank Withdrawal
0114-RSRRW,V003,B001,S003,3/30/2023,1/30/2023,17,50,51,300,3,45,345,0,0,600,150,1395,Yes,Bank Withdrawal
0115-TFERT,V001,B004,S004,3/30/2023,1/30/2023,15,36,37,228,9,135,435,120,2400,3000,150,3813,Yes,Bank Withdrawal
0117-LFRMW,V003,B002,S003,3/30/2023,1/30/2023,0,,,0,6,90,390,0,0,600,150,1140,No,Bank Withdrawal
0118-JPNOY,V001,B001,S002,3/30/2023,1/30/2023,16,34,35,252,2,30,330,0,0,600,150,1332,Yes,Credit Card
0121-SNYRK,V003,B004,S003,3/30/2023,1/30/2023,0,,,0,9,135,435,0,0,600,150,1185,Yes,Credit Card
0122-OAHPZ,V002,B001,S002,3/30/2023,1/30/2023,14,29,30,207,0,0,300,0,0,600,150,1257,Yes,Bank Withdrawal
0123-CRBRT,V001,B003,S002,3/30/2023,1/30/2023,19,47,48,276,3,45,345,0,0,600,150,1371,No,Mailed Check
0125-LZQXK,V003,B004,S001,3/30/2023,1/30/2023,16,46,47,348,4,60,360,0,0,600,150,1458,Yes,Bank Withdrawal
0128-MKWSG,V003,B002,S004,3/30/2023,1/30/2023,0,,,0,1,15,315,0,0,600,150,1065,No,Credit Card
0129-KPTWJ,V001,B004,S002,3/30/2023,1/30/2023,13,33,34,204,3,45,345,0,0,600,150,1299,Yes,Bank Withdrawal
0129-QMPDR,V003,B004,S004,3/30/2023,1/30/2023,10,27,28,231,7,105,405,0,0,600,150,1386,Yes,Bank Withdrawal
0130-SXOUN,V002,B004,S001,3/30/2023,1/30/2023,20,49,50,312,10,150,450,40,800,1400,150,2312,No,Credit Card
0133-BMFZO,V001,B003,S003,3/30/2023,1/30/2023,14,37,38,276,6,90,390,0,0,600,150,1416,Yes,Bank Withdrawal
0134-XWXCE,V003,B002,S003,3/30/2023,1/30/2023,4,8,9,54,0,0,300,0,0,600,150,1104,No,Bank Withdrawal
0135-NMXAP,V004,B001,S001,3/30/2023,1/30/2023,8,14,15,132,2,30,330,0,0,600,150,1212,Yes,Bank Withdrawal
0136-IFMYD,V002,B004,S002,3/30/2023,1/30/2023,6,18,19,144,0,0,300,0,0,600,150,1194,Yes,Bank Withdrawal
0137-OCGAB,V004,B004,S003,3/30/2023,1/30/2023,2,1,2,33,5,75,375,0,0,600,150,1158,Yes,Mailed Check
0137-UDEUO,V001,B003,S001,3/30/2023,1/30/2023,11,26,27,168,10,150,450,0,0,600,150,1368,No,Credit Card
0139-IVFJG,V001,B003,S004,3/30/2023,1/30/2023,4,5,6,90,2,30,330,0,0,600,150,1170,No,Bank Withdrawal
0141-YEAYS,V002,B001,S004,3/30/2023,1/30/2023,6,3,4,69,8,120,420,0,0,600,150,1239,Yes,Bank Withdrawal
0142-GVYSN,V004,B002,S003,3/30/2023,1/30/2023,6,13,14,129,8,120,420,0,0,600,150,1299,Yes,Bank Withdrawal
0147-ESWWR,V003,B003,S004,3/30/2023,1/30/2023,8,20,21,180,0,0,300,0,0,600,150,1230,Yes,Bank Withdrawal
0148-DCDOS,V001,B003,S001,3/30/2023,1/30/2023,13,35,36,270,7,105,405,0,0,600,150,1425,Yes,Bank Withdrawal
0151-ONTOV,V001,B004,S001,3/30/2023,1/30/2023,14,40,41,285,8,120,420,0,0,600,150,1455,No,Mailed Check
0156-FVPTA,V004,B001,S004,3/30/2023,1/30/2023,12,27,28,201,6,90,390,0,0,600,150,1341,Yes,Bank Withdrawal
0164-APGRB,V003,B002,S002,3/30/2023,1/30/2023,18,48,49,354,5,75,375,0,0,600,150,1479,Yes,Bank Withdrawal
0164-XAIRP,V001,B002,S002,3/30/2023,1/30/2023,5,11,12,123,0,0,300,0,0,600,150,1173,Yes,Bank Withdrawal
0168-XZKBB,V004,B003,S001,3/30/2023,1/30/2023,7,8,9,69,4,60,360,0,0,600,150,1179,Yes,Bank Withdrawal
0174-QRVVY,V002,B003,S001,3/30/2023,1/30/2023,7,9,10,72,7,105,405,0,0,600,150,1227,No,Credit Card
0177-PXBAT,V002,B004,S004,3/30/2023,1/30/2023,13,25,26,150,7,105,405,0,0,600,150,1305,Yes,Bank Withdrawal
0178-CIIKR,V001,B003,S003,3/30/2023,1/30/2023,3,3,4,0,7,105,405,0,0,600,150,1155,No,Credit Card
0178-SZBHO,V003,B004,S002,3/30/2023,1/30/2023,4,1,2,18,2,30,330,0,0,600,150,1098,No,Bank Withdrawal
0181-RITDD,V001,B004,S004,3/30/2023,1/30/2023,4,2,3,36,6,90,390,0,0,600,150,1176,No,Credit Card
0186-CAERR,V001,B001,S002,3/30/2023,1/30/2023,6,3,4,0,1,15,315,0,0,600,150,1065,Yes,Bank Withdrawal
0187-QSXOE,V001,B003,S003,3/30/2023,1/30/2023,19,42,43,261,7,105,405,0,0,600,150,1416,Yes,Bank Withdrawal
0187-WZNAB,V001,B002,S001,3/30/2023,1/30/2023,17,47,48,321,7,105,405,0,0,600,150,1476,No,Credit Card
0188-GWFLE,V002,B004,S003,3/30/2023,1/30/2023,4,2,3,51,4,60,360,0,0,600,150,1161,No,Credit Card
0191-EQUUH,V004,B004,S003,3/30/2023,1/30/2023,0,,,0,10,150,450,0,0,600,150,1200,No,Bank Withdrawal
0191-ZHSKZ,V002,B003,S004,3/30/2023,1/30/2023,17,39,40,267,2,30,330,0,0,600,150,1347,Yes,Bank Withdrawal
0193-ESZXP,V003,B004,S002,3/30/2023,1/30/2023,10,17,18,171,4,60,360,0,0,600,150,1281,Yes,Credit Card
0195-IESCP,V004,B004,S004,3/30/2023,1/30/2023,4,2,3,66,0,0,300,100,2000,2600,150,3116,Yes,Bank Withdrawal
0196-JTUQI,V001,B004,S003,3/30/2023,1/30/2023,6,9,10,57,7,105,405,0,0,600,150,1212,Yes,Credit Card
0196-VULGZ,V001,B001,S001,3/30/2023,1/30/2023,13,29,30,252,5,75,375,0,0,600,150,1377,Yes,Bank Withdrawal
0197-PNKNK,V001,B004,S004,3/30/2023,1/30/2023,18,39,40,237,6,90,390,40,800,1400,150,2177,No,Bank Withdrawal
0201-MIBOL,V001,B004,S003,3/30/2023,1/30/2023,5,10,11,60,7,105,405,0,0,600,150,1215,Yes,Bank Withdrawal
0201-OAMXR,V001,B002,S004,3/30/2023,1/30/2023,5,10,11,90,4,60,360,0,0,600,150,1200,No,Credit Card
0203-HHYIJ,V002,B003,S001,3/30/2023,1/30/2023,7,6,7,33,0,0,300,0,0,600,150,1083,No,Bank Withdrawal
0206-OYVOC,V001,B004,S001,3/30/2023,1/30/2023,11,24,25,192,9,135,435,0,0,600,150,1377,Yes,Credit Card
0206-TBWLC,V001,B003,S002,3/30/2023,1/30/2023,3,11,12,108,4,60,360,0,0,600,150,1218,Yes,Credit Card
0207-MDKNV,V001,B002,S002,3/30/2023,1/30/2023,7,22,23,186,0,0,300,0,0,600,150,1236,No,Bank Withdrawal
0208-BPQEJ,V001,B004,S002,3/30/2023,1/30/2023,2,8,9,69,7,105,405,0,0,600,150,1224,No,Bank Withdrawal
0212-ISBBF,V003,B004,S002,3/30/2023,1/30/2023,0,,,0,3,45,345,0,0,600,150,1095,Yes,Bank Withdrawal
0214-JHPFW,V004,B001,S002,3/30/2023,1/30/2023,0,,,0,6,90,390,0,0,600,150,1140,No,Bank Withdrawal
0215-BQKGS,V001,B003,S001,3/30/2023,1/30/2023,12,25,26,150,9,135,435,130,2600,3200,150,3935,Yes,Credit Card
0218-QNVAS,V004,B003,S002,3/30/2023,1/30/2023,10,28,29,189,8,120,420,0,0,600,150,1359,No,Bank Withdrawal
0219-QAERP,V004,B003,S001,3/30/2023,1/30/2023,4,10,11,60,9,135,435,0,0,600,150,1245,No,Credit Card
0219-YTZUE,V002,B004,S003,3/30/2023,1/30/2023,13,29,30,252,6,90,390,0,0,600,150,1392,Yes,Bank Withdrawal
0220-EBGCE,V002,B002,S003,3/30/2023,1/30/2023,4,14,15,102,4,60,360,0,0,600,150,1212,Yes,Bank Withdrawal
0221-NAUXK,V001,B004,S002,3/30/2023,1/30/2023,6,8,9,114,10,150,450,0,0,600,150,1314,Yes,Bank Withdrawal
0221-WMXNQ,V003,B002,S001,3/30/2023,1/30/2023,14,36,37,258,2,30,330,0,0,600,150,1338,No,Bank Withdrawal
0222-CNVPT,V004,B004,S003,3/30/2023,1/30/2023,0,,,0,7,105,405,0,0,600,150,1155,Yes,Credit Card
0224-HJAPT,V003,B001,S003,3/30/2023,1/30/2023,9,22,23,126,6,90,390,0,0,600,150,1266,No,Bank Withdrawal
0224-NIJLP,V003,B003,S001,3/30/2023,1/30/2023,5,3,4,84,0,0,300,0,0,600,150,1134,No,Credit Card
0224-RLWWD,V002,B002,S002,3/30/2023,1/30/2023,11,24,25,147,9,135,435,0,0,600,150,1332,Yes,Bank Withdrawal
0225-ZORZP,V003,B002,S002,3/30/2023,1/30/2023,5,14,15,162,8,120,420,0,0,600,150,1332,No,Bank Withdrawal
0228-MAUWC,V004,B002,S001,3/30/2023,1/30/2023,7,12,13,66,6,90,390,0,0,600,150,1206,No,Bank Withdrawal
0229-LFJAF,V004,B003,S002,3/30/2023,1/30/2023,6,4,5,87,4,60,360,0,0,600,150,1197,No,Bank Withdrawal
0230-UBYPQ,V002,B004,S002,3/30/2023,1/30/2023,0,,,0,3,45,345,0,0,600,150,1095,No,Bank Withdrawal
0230-WEQUW,V002,B003,S004,3/30/2023,1/30/2023,0,,,0,8,120,420,0,0,600,150,1170,Yes,Bank Withdrawal
0231-LXVAP,V004,B003,S004,3/30/2023,1/30/2023,17,45,46,345,9,135,435,0,0,600,150,1530,Yes,Bank Withdrawal
0233-FTHAV,V002,B002,S001,3/30/2023,1/30/2023,6,15,16,135,9,135,435,0,0,600,150,1320,Yes,Bank Withdrawal
0234-TEVTT,V001,B001,S004,3/30/2023,1/30/2023,0,,,0,0,0,300,0,0,600,150,1050,No,Credit Card
0235-KGSLC,V001,B003,S002,3/30/2023,1/30/2023,11,33,34,264,3,45,345,0,0,600,150,1359,Yes,Credit Card
0236-HFWSV,V004,B004,S002,3/30/2023,1/30/2023,20,49,50,342,10,150,450,0,0,600,150,1542,Yes,Bank Withdrawal
0237-YFUTL,V003,B001,S003,3/30/2023,1/30/2023,12,35,36,270,3,45,345,0,0,600,150,1365,Yes,Bank Withdrawal
0238-WHBIQ,V001,B003,S001,3/30/2023,1/30/2023,11,34,35,267,1,15,315,0,0,600,150,1332,No,Credit Card
0239-OXEXL,V001,B001,S003,3/30/2023,1/30/2023,14,43,44,294,0,0,300,100,2000,2600,150,3344,No,Credit Card
0244-LGNFY,V004,B002,S001,3/30/2023,1/30/2023,12,30,31,255,8,120,420,0,0,600,150,1425,No,Bank Withdrawal
0247-SLUJI,V002,B004,S001,3/30/2023,1/30/2023,15,34,35,252,2,30,330,0,0,600,150,1332,No,Credit Card
0248-IPDFW,V004,B001,S001,3/30/2023,1/30/2023,12,29,30,192,9,135,435,0,0,600,150,1377,Yes,Bank Withdrawal
0248-PGHBZ,V002,B001,S003,3/30/2023,1/30/2023,4,3,4,69,8,120,420,0,0,600,150,1239,Yes,Bank Withdrawal
0253-ZTEOB,V003,B001,S002,3/30/2023,1/30/2023,5,9,10,132,2,30,330,0,0,600,150,1212,No,Bank Withdrawal
0254-FNMCI,V004,B001,S002,3/30/2023,1/30/2023,18,42,43,291,10,150,450,0,0,600,150,1491,Yes,Bank Withdrawal
0254-KCJGT,V001,B003,S001,3/30/2023,1/30/2023,17,41,42,318,0,0,300,0,0,600,150,1368,Yes,Credit Card
0254-WWRKD,V002,B004,S003,3/30/2023,1/30/2023,18,47,48,306,8,120,420,0,0,600,150,1476,No,Credit Card
0256-LTHVJ,V002,B003,S003,3/30/2023,1/30/2023,6,17,18,126,0,0,300,0,0,600,150,1176,Yes,Bank Withdrawal
0257-KXZGU,V003,B003,S002,3/30/2023,1/30/2023,13,33,34,204,10,150,450,0,0,600,150,1404,No,Bank Withdrawal
0257-ZESQC,V001,B004,S003,3/30/2023,1/30/2023,3,7,8,36,9,135,435,0,0,600,150,1221,Yes,Bank Withdrawal
0258-NOKBL,V001,B004,S001,3/30/2023,1/30/2023,14,31,32,228,6,90,390,0,0,600,150,1368,No,Bank Withdrawal
0259-GBZSH,V004,B004,S004,3/30/2023,1/30/2023,14,40,41,255,1,15,315,0,0,600,150,1320,Yes,Bank Withdrawal
0260-ZDLGK,V001,B004,S004,3/30/2023,1/30/2023,14,35,36,270,9,135,435,0,0,600,150,1455,Yes,Credit Card
0263-FJTQO,V003,B004,S003,3/30/2023,1/30/2023,19,44,45,267,10,150,450,0,0,600,150,1467,Yes,Credit Card
0264-CNITK,V004,B004,S004,3/30/2023,1/30/2023,14,31,32,183,1,15,315,0,0,600,150,1248,No,Bank Withdrawal
0265-EDXBD,V001,B001,S002,3/30/2023,1/30/2023,17,47,48,351,4,60,360,0,0,600,150,1461,Yes,Bank Withdrawal
0265-PSUAE,V002,B002,S002,3/30/2023,1/30/2023,12,27,28,186,9,135,435,0,0,600,150,1371,No,Bank Withdrawal
0266-CLZKZ,V002,B003,S002,3/30/2023,1/30/2023,9,18,19,174,6,90,390,0,0,600,150,1314,Yes,Bank Withdrawal
0266-GMEAO,V001,B004,S004,3/30/2023,1/30/2023,9,16,17,168,0,0,300,0,0,600,150,1218,Yes,Credit Card
0268-QKIWO,V003,B004,S001,3/30/2023,1/30/2023,13,25,26,165,10,150,450,0,0,600,150,1365,No,Bank Withdrawal
0269-XFESX,V001,B004,S003,3/30/2023,1/30/2023,18,48,49,339,4,60,360,0,0,600,150,1449,No,Credit Card
0270-THENM,V001,B002,S001,3/30/2023,1/30/2023,9,28,29,219,8,120,420,0,0,600,150,1389,No,Bank Withdrawal
0274-JKUJR,V002,B003,S004,3/30/2023,1/30/2023,0,,,0,4,60,360,0,0,600,150,1110,No,Credit Card
0277-BKSQP,V001,B004,S004,3/30/2023,1/30/2023,3,2,3,51,10,150,450,0,0,600,150,1251,Yes,Bank Withdrawal
0277-ORXQS,V003,B003,S003,3/30/2023,1/30/2023,0,,,0,9,135,435,110,2200,2800,150,3385,No,Bank Withdrawal
0278-YXOOG,V001,B003,S001,3/30/2023,1/30/2023,16,34,35,222,1,15,315,0,0,600,150,1287,No,Credit Card
0280-XJGEX,V001,B002,S004,3/30/2023,1/30/2023,19,44,45,282,0,0,300,0,0,600,150,1332,Yes,Bank Withdrawal
0281-CNTZX,V002,B002,S004,3/30/2023,1/30/2023,12,38,39,279,1,15,315,0,0,600,150,1344,Yes,Bank Withdrawal
0282-NVSJS,V002,B001,S002,3/30/2023,1/30/2023,0,,,0,0,0,300,0,0,600,150,1050,Yes,Mailed Check
0285-INHLN,V001,B001,S001,3/30/2023,1/30/2023,17,36,37,228,0,0,300,0,0,600,150,1278,Yes,Credit Card
0289-IVARM,V001,B003,S002,3/30/2023,1/30/2023,16,45,46,330,0,0,300,0,0,600,150,1380,No,Bank Withdrawal
0292-WEGCH,V001,B002,S002,3/30/2023,1/30/2023,6,4,5,27,1,15,315,0,0,600,150,1092,Yes,Bank Withdrawal
0295-PPHDO,V003,B004,S001,3/30/2023,1/30/2023,2,6,7,78,1,15,315,0,0,600,150,1143,Yes,Bank Withdrawal
0295-QVKPB,V002,B003,S002,3/30/2023,1/30/2023,9,14,15,117,5,75,375,0,0,600,150,1242,Yes,Credit Card
0297-RBCSG,V004,B002,S001,3/30/2023,1/30/2023,18,42,43,276,3,45,345,60,1200,1800,150,2571,Yes,Bank Withdrawal
0298-XACET,V003,B003,S002,3/30/2023,1/30/2023,0,,,0,10,150,450,0,0,600,150,1200,No,Credit Card
0301-FIDRB,V002,B001,S004,3/30/2023,1/30/2023,0,,,0,6,90,390,0,0,600,150,1140,Yes,Bank Withdrawal
0301-KOBTQ,V001,B004,S003,3/30/2023,1/30/2023,5,15,16,165,8,120,420,0,0,600,150,1335,Yes,Bank Withdrawal
0302-JOIVN,V004,B003,S004,3/30/2023,1/30/2023,10,17,18,156,4,60,360,0,0,600,150,1266,No,Bank Withdrawal
0303-UNCIP,V001,B004,S001,3/30/2023,1/30/2023,15,38,39,249,2,30,330,140,2800,3400,150,4129,No,Mailed Check
0303-WMMRN,V001,B004,S004,3/30/2023,1/30/2023,8,21,22,198,6,90,390,0,0,600,150,1338,Yes,Credit Card
0305-SQECB,V003,B003,S003,3/30/2023,1/30/2023,0,,,0,5,75,375,100,2000,2600,150,3125,Yes,Credit Card
0306-JAELE,V001,B003,S001,3/30/2023,1/30/2023,11,31,32,243,10,150,450,0,0,600,150,1443,Yes,Bank Withdrawal
0307-BCOPK,V002,B001,S004,3/30/2023,1/30/2023,17,42,43,246,7,105,405,0,0,600,150,1401,No,Credit Card
0308-GIQJT,V002,B004,S002,3/30/2023,1/30/2023,3,6,7,63,8,120,420,0,0,600,150,1233,No,Bank Withdrawal
0308-IVGOK,V002,B004,S004,3/30/2023,1/30/2023,0,,,0,4,60,360,0,0,600,150,1110,Yes,Credit Card
0310-MVLET,V002,B002,S001,3/30/2023,1/30/2023,16,49,50,312,6,90,390,0,0,600,150,1452,Yes,Bank Withdrawal
0310-SUCIN,V003,B001,S001,3/30/2023,1/30/2023,9,23,24,189,5,75,375,0,0,600,150,1314,Yes,Bank Withdrawal
0310-VQXAM,V001,B004,S002,3/30/2023,1/30/2023,17,41,42,303,8,120,420,0,0,600,150,1473,No,Credit Card
0311-QYWSS,V003,B002,S004,3/30/2023,1/30/2023,13,39,40,312,5,75,375,0,0,600,150,1437,Yes,Bank Withdrawal
