Servie_Line_ID,Customer_ID,Service_Line Activation Date,Tenure in Months,Offer,Contract,Premimum_Tech_Support
,0129-KPTWJ,10/16/2017,72,None,Month-to-Month,Yes
,0129-QMPDR,2/3/2020,44,None,One Year,No
,0130-SXOUN,4/14/2018,66,Offer A,Month-to-Month,Yes
,0133-BMFZO,7/17/2023,2,None,Month-to-Month,Yes
,0134-XWXCE,2/3/2020,44,None,One Year,Yes
,0135-NMXAP,9/20/2022,12,Offer D,Month-to-Month,Yes
,0136-IFMYD,1/14/2018,69,None,Two Year,Yes
,0137-OCGAB,8/16/2023,1,Offer E,Month-to-Month,No
,0137-UDEUO,6/17/2023,3,Offer E,Month-to-Month,Yes
,0139-IVFJG,7/17/2023,2,None,Month-to-Month,No
,0141-YEAYS,6/27/2021,27,None,Two Year,No
,0142-GVYSN,7/27/2021,26,Offer C,Month-to-Month,No
,0147-ESWWR,7/2/2020,39,None,Month-to-Month,No
,0148-DCDOS,8/26/2021,25,None,Month-to-Month,Yes
,0151-ONTOV,8/16/2023,1,Offer E,Month-to-Month,Yes
,0156-FVPTA,11/24/2021,22,Offer D,Month-to-Month,Yes
,0164-APGRB,10/16/2017,72,Offer A,Two Year,Yes
,0164-XAIRP,9/25/2021,24,None,Two Year,No
,0168-XZKBB,2/22/2022,19,None,Month-to-Month,Yes
,0174-QRVVY,11/15/2017,71,None,Two Year,No
,0177-PXBAT,12/29/2020,33,None,One Year,No
,0178-CIIKR,6/17/2023,3,None,Month-to-Month,No
,0178-SZBHO,11/5/2019,47,None,Month-to-Month,Yes
,0181-RITDD,8/12/2018,62,None,Two Year,Yes
,0186-CAERR,11/15/2017,71,None,One Year,No
,0187-QSXOE,2/17/2023,7,None,Two Year,Yes
,0187-WZNAB,6/27/2021,27,Offer C,Month-to-Month,No
,0188-GWFLE,7/17/2023,2,None,Month-to-Month,Yes
,0191-EQUUH,8/26/2021,25,Offer C,Two Year,Yes
,0191-ZHSKZ,3/29/2021,30,None,One Year,Yes
,0193-ESZXP,12/10/2018,58,None,One Year,Yes
,0195-IESCP,11/19/2022,10,Offer D,Month-to-Month,No
,0196-JTUQI,12/19/2022,9,None,Month-to-Month,No
,0196-VULGZ,3/19/2023,6,None,Month-to-Month,No
,0197-PNKNK,1/14/2018,69,None,One Year,No
,0201-MIBOL,4/14/2018,66,None,Two Year,No
,0201-OAMXR,12/15/2017,70,Offer A,One Year,No
,0203-HHYIJ,8/26/2021,25,Offer C,One Year,Yes
,0206-OYVOC,12/5/2019,46,Offer B,Two Year,Yes
,0206-TBWLC,4/9/2019,54,Offer B,One Year,No
,0207-MDKNV,6/22/2022,15,None,Month-to-Month,No
,0208-BPQEJ,9/20/2022,12,Offer D,Month-to-Month,Yes
,0212-ISBBF,11/24/2021,22,None,Month-to-Month,Yes
,0214-JHPFW,12/15/2017,70,None,Two Year,No
,0215-BQKGS,3/29/2021,30,Offer C,Month-to-Month,No
,0218-QNVAS,11/15/2017,71,Offer A,One Year,No
,0219-QAERP,3/29/2021,30,None,One Year,No
,0219-YTZUE,5/18/2023,4,Offer E,Month-to-Month,No
,0220-EBGCE,7/17/2023,2,Offer E,Month-to-Month,Yes
,0221-NAUXK,11/19/2022,10,None,One Year,Yes
,0221-WMXNQ,5/18/2023,4,Offer E,One Year,No
,0222-CNVPT,6/8/2019,52,Offer B,Two Year,Yes
,0224-HJAPT,4/18/2023,5,None,Month-to-Month,Yes
,0224-NIJLP,1/18/2023,8,Offer E,Two Year,No
,0224-RLWWD,7/17/2023,2,Offer E,One Year,No
,0225-ZORZP,6/17/2023,3,Offer E,Month-to-Month,No
,0228-MAUWC,2/22/2022,19,Offer D,Month-to-Month,No
,0229-LFJAF,10/16/2017,72,Offer A,Two Year,Yes
,0230-UBYPQ,7/13/2018,63,Offer B,One Year,Yes
,0230-WEQUW,4/14/2018,66,None,Two Year,Yes
,0231-LXVAP,8/16/2023,1,None,Month-to-Month,Yes
,0233-FTHAV,10/11/2018,60,None,One Year,No
,0234-TEVTT,10/6/2019,48,None,One Year,No
,0235-KGSLC,8/16/2023,1,Offer E,Month-to-Month,Yes
,0236-HFWSV,6/22/2022,15,None,Month-to-Month,Yes
,0237-YFUTL,8/7/2019,50,Offer B,Month-to-Month,No
,0238-WHBIQ,10/16/2017,72,Offer A,Two Year,No
,0239-OXEXL,12/5/2019,46,None,Month-to-Month,No
,0244-LGNFY,10/16/2017,72,None,Two Year,No
,0247-SLUJI,8/16/2023,1,None,Month-to-Month,No
,0248-IPDFW,8/16/2023,1,None,Month-to-Month,No
,0248-PGHBZ,3/15/2018,67,Offer A,Two Year,No
,0253-ZTEOB,10/6/2019,48,None,Two Year,Yes
,0254-FNMCI,10/16/2017,72,None,Two Year,No
,0254-KCJGT,6/8/2019,52,Offer B,One Year,No
,0254-WWRKD,3/15/2018,67,Offer A,One Year,Yes
,0256-LTHVJ,5/28/2021,28,Offer C,Month-to-Month,No
,0257-KXZGU,1/28/2021,32,Offer C,Month-to-Month,Yes
,0257-ZESQC,6/27/2021,27,None,Month-to-Month,No
,0258-NOKBL,6/17/2023,3,None,Month-to-Month,No
,0259-GBZSH,7/17/2023,2,Offer E,Month-to-Month,Yes
,0260-ZDLGK,12/19/2022,9,None,Month-to-Month,No
,0263-FJTQO,8/7/2019,50,Offer B,Two Year,No
,0264-CNITK,11/15/2017,71,None,Two Year,No
,0265-EDXBD,1/28/2021,32,Offer C,Month-to-Month,Yes
,0265-PSUAE,5/23/2022,16,Offer D,Month-to-Month,No
,0266-CLZKZ,3/15/2018,67,Offer A,Two Year,Yes
,0266-GMEAO,10/16/2017,72,None,Two Year,Yes
,0268-QKIWO,6/17/2023,3,Offer E,Month-to-Month,Yes
,0269-XFESX,10/25/2021,23,None,One Year,No
,0270-THENM,10/16/2017,72,None,Two Year,Yes
,0274-JKUJR,2/17/2023,7,Offer E,Month-to-Month,No
,0277-BKSQP,1/18/2023,8,Offer E,Month-to-Month,No
,0277-ORXQS,4/14/2018,66,Offer A,Two Year,No
,0278-YXOOG,4/18/2023,5,Offer E,Month-to-Month,No
,0280-XJGEX,9/6/2019,49,None,Month-to-Month,Yes
,0281-CNTZX,7/13/2018,63,Offer B,Two Year,No
,0282-NVSJS,9/20/2022,12,Offer D,Month-to-Month,Yes
,0285-INHLN,6/27/2021,27,None,Month-to-Month,Yes
,0289-IVARM,10/30/2020,35,None,Month-to-Month,Yes
,0292-WEGCH,4/9/2019,54,Offer B,Month-to-Month,Yes
,0295-PPHDO,8/16/2023,1,None,Month-to-Month,No
,0295-QVKPB,4/18/2023,5,Offer E,Month-to-Month,No
,0297-RBCSG,2/22/2022,19,None,One Year,Yes
,0298-XACET,6/8/2019,52,None,Two Year,Yes
,0301-FIDRB,10/16/2017,72,None,Two Year,Yes
,0301-KOBTQ,1/28/2021,32,None,Two Year,Yes
,0302-JOIVN,1/18/2023,8,None,Month-to-Month,Yes
,0303-UNCIP,5/3/2020,41,Offer B,One Year,No
,0303-WMMRN,4/18/2023,5,None,Month-to-Month,No
,0305-SQECB,10/20/2022,11,None,One Year,Yes
,0306-JAELE,4/18/2023,5,None,Month-to-Month,Yes
,0307-BCOPK,5/23/2022,16,Offer D,One Year,No
,0308-GIQJT,11/15/2017,71,None,One Year,Yes
,0308-IVGOK,10/20/2022,11,None,One Year,No
,0310-MVLET,9/11/2018,61,None,Month-to-Month,No
,0310-SUCIN,11/15/2017,71,None,One Year,Yes
,0310-VQXAM,12/19/2022,9,None,Month-to-Month,No
,0311-QYWSS,3/19/2023,6,None,Month-to-Month,Yes
,0311-UNPFF,7/27/2021,26,None,Month-to-Month,No
,0314-TKOSI,3/19/2023,6,Offer E,Month-to-Month,No
,0315-LVCRK,10/20/2022,11,None,Month-to-Month,No
,0318-QUUOB,8/16/2023,1,None,Month-to-Month,No
,0318-ZOPWS,9/6/2019,49,None,Two Year,Yes
,0319-QZTCO,6/17/2023,3,Offer E,Month-to-Month,No
,0320-DWVTU,5/9/2019,53,Offer B,Two Year,No
,0320-JDNQG,10/25/2021,23,None,Month-to-Month,Yes
,0322-CHQRU,7/17/2023,2,None,Month-to-Month,No
,0322-YINQP,8/16/2023,1,None,Month-to-Month,No
,0323-XWWTN,6/17/2023,3,None,Two Year,Yes
,0324-BRPCJ,2/13/2018,68,None,Month-to-Month,No
,0325-XBFAC,1/18/2023,8,None,Month-to-Month,No
,0326-VDYXE,12/15/2017,70,Offer A,One Year,No
,0327-WFZSY,7/2/2020,39,Offer C,One Year,No
,0328-GRPMV,8/16/2023,1,None,Month-to-Month,No
,0329-GTIAJ,6/17/2023,3,None,Month-to-Month,No
,0330-BGYZE,10/11/2018,60,Offer B,One Year,Yes
,0330-IVZHA,4/18/2023,5,Offer E,Month-to-Month,No
,0334-GDDSO,6/17/2023,3,Offer E,Month-to-Month,Yes
,0334-ZFJSR,3/10/2019,55,None,One Year,Yes
,0336-KXKFK,10/16/2017,72,None,Two Year,No
,0336-PIKEI,10/16/2017,72,Offer A,Two Year,Yes
,0337-CNPZE,5/3/2020,41,None,Month-to-Month,No
,0343-QLUZP,10/11/2018,60,Offer B,Two Year,No
,0345-HKJVM,3/19/2023,6,None,Month-to-Month,No
,0345-XMMUG,12/5/2019,46,None,Two Year,No
,0347-UBKUZ,6/22/2022,15,None,Month-to-Month,Yes
,0348-SDKOL,12/10/2018,58,None,Month-to-Month,No
,0354-VXMJC,10/25/2021,23,None,Two Year,Yes
,0354-WYROK,2/27/2021,31,Offer C,Month-to-Month,Yes
,0356-ERHVT,10/20/2022,11,Offer D,Month-to-Month,No
,0356-OBMAC,2/8/2019,56,None,Two Year,No
,0357-NVCRI,8/26/2021,25,Offer C,Month-to-Month,No
,0361-HJRDX,2/13/2018,68,Offer A,Two Year,Yes
,0362-RAOQO,6/2/2020,40,None,Two Year,No
,0362-ZBZWJ,9/30/2020,36,None,Month-to-Month,Yes
,0363-QJVFX,1/28/2021,32,Offer C,Month-to-Month,Yes
,0363-SVHYR,11/15/2017,71,Offer A,Two Year,No
,0365-BZUWY,4/23/2022,17,Offer D,Month-to-Month,Yes
,0365-GXEZS,3/24/2022,18,Offer D,Month-to-Month,Yes
,0365-TRTPY,8/31/2020,37,None,Month-to-Month,No
,0366-NQSHS,7/17/2023,2,None,Month-to-Month,Yes
,0369-ZGOVK,5/28/2021,28,Offer C,One Year,No
,0373-AIVNJ,12/19/2022,9,Offer E,One Year,Yes
,0374-AACSZ,8/16/2023,1,Offer E,Month-to-Month,Yes
,0374-FIUCA,5/14/2018,65,None,Two Year,Yes
,0374-IOEGQ,6/17/2023,3,None,Month-to-Month,Yes
,0375-HVGXO,8/16/2023,1,Offer E,Month-to-Month,No
,0376-OIWME,9/30/2020,36,Offer C,Month-to-Month,No
,0376-YMCJC,10/25/2021,23,None,Month-to-Month,No
,0377-JBKKT,11/24/2021,22,Offer D,Month-to-Month,No
,0378-CJKPV,10/16/2017,72,None,Two Year,No
,0378-NHQXU,4/23/2022,17,None,Month-to-Month,No
,0378-TOVMS,6/17/2023,3,None,Month-to-Month,Yes
,0378-XSZPU,12/10/2018,58,Offer B,One Year,No
,0379-DJQHR,3/15/2018,67,None,Two Year,Yes
,0380-NEAVX,11/29/2020,34,None,One Year,Yes
,0380-ZCSBI,11/19/2022,10,None,Month-to-Month,Yes
,0383-CLDDA,1/14/2018,69,Offer A,Two Year,Yes
,0384-LPITE,6/2/2020,40,None,One Year,Yes
,0384-RVBPI,1/23/2022,20,Offer D,Month-to-Month,Yes
,0386-CWRGM,12/5/2019,46,None,Two Year,Yes
,0388-EOPEX,7/17/2023,2,None,Month-to-Month,No
,0390-DCFDQ,8/16/2023,1,Offer E,Month-to-Month,No
,0392-BZIUW,10/16/2017,72,None,Two Year,No
,0394-YONDK,12/15/2017,70,None,Two Year,Yes
,0396-HUJBP,7/17/2023,2,None,Month-to-Month,Yes
,0396-UKGAI,10/25/2021,23,Offer D,Month-to-Month,Yes
,0396-YCHWO,9/30/2020,36,Offer C,Month-to-Month,No
,0397-GZBBC,11/10/2018,59,None,Month-to-Month,No
,0397-ZXWQF,3/15/2018,67,Offer A,Two Year,Yes
,0401-WDBXM,10/16/2017,72,None,Two Year,No
,0402-CQAJN,8/31/2020,37,None,Month-to-Month,No
,0402-OAMEN,10/16/2017,72,Offer A,Two Year,Yes
,0404-AHASP,10/16/2017,72,Offer A,Two Year,No
,0404-SWRVG,6/17/2023,3,Offer E,Month-to-Month,Yes
,0406-BPDVR,4/9/2019,54,Offer B,One Year,No
,0407-BDJKB,10/11/2018,60,None,Month-to-Month,No
,0409-WTMPL,12/10/2018,58,Offer B,One Year,Yes
,0410-IPFTY,2/27/2021,31,Offer C,Month-to-Month,Yes
,0411-EZJZE,6/17/2023,3,None,Month-to-Month,No
,0412-UCCNP,3/10/2019,55,None,Two Year,Yes
,0415-MOSGF,8/16/2023,1,Offer E,Month-to-Month,Yes
,0419-YAAPX,9/6/2019,49,Offer B,Month-to-Month,Yes
,0420-BWTPW,1/18/2023,8,None,Month-to-Month,No
,0420-HLGXF,7/2/2020,39,None,Two Year,Yes
,0420-TXVSG,4/14/2018,66,Offer A,Two Year,No
,0422-OHQHQ,6/22/2022,15,None,One Year,Yes
,0422-UXFAP,7/8/2019,51,Offer B,One Year,No
,0423-UDIJQ,12/19/2022,9,None,Two Year,No
,0426-TIRNE,8/16/2023,1,Offer E,Month-to-Month,No
,0428-AXXLJ,8/26/2021,25,Offer C,One Year,Yes
,0428-IKYCP,11/24/2021,22,None,Month-to-Month,No
,0430-IHCDJ,6/22/2022,15,None,Month-to-Month,No
,0431-APWVY,5/28/2021,28,None,One Year,Yes
,0432-CAJZV,6/17/2023,3,None,Month-to-Month,Yes
,0434-CSFON,11/5/2019,47,Offer B,Month-to-Month,No
,0436-TWFFZ,3/15/2018,67,Offer A,Two Year,No
,0439-IFYUN,3/24/2022,18,Offer D,Month-to-Month,Yes
,0440-EKDCF,8/12/2018,62,Offer B,Two Year,Yes
,0440-MOGPM,5/3/2020,41,None,One Year,Yes
,0440-QEXBZ,2/3/2020,44,Offer B,Month-to-Month,Yes
,0440-UEDAI,5/9/2019,53,None,One Year,Yes
,0442-TDYUO,10/6/2019,48,None,Two Year,No
,0442-ZXKVS,4/9/2019,54,Offer B,One Year,No
,0447-BEMNG,10/6/2019,48,None,Month-to-Month,No
,0447-RXSGD,9/25/2021,24,Offer C,Month-to-Month,No
,0454-OKRCT,12/29/2020,33,Offer C,Two Year,No
,0455-ENTCR,4/14/2018,66,None,Two Year,Yes
,0455-XFASS,6/17/2023,3,None,Month-to-Month,No
,0458-HEUZG,8/21/2022,13,Offer D,Two Year,No
,0459-SPZHJ,7/13/2018,63,None,Two Year,No
,0461-CVKMU,10/25/2021,23,None,Month-to-Month,No
,0463-TXOAK,6/8/2019,52,None,Two Year,No
,0463-WZZKO,6/17/2023,3,Offer E,Month-to-Month,Yes
,0463-ZSDNT,11/19/2022,10,None,Month-to-Month,Yes
,0464-WJTKO,10/16/2017,72,None,Two Year,Yes
,0468-YRPXN,4/28/2021,29,Offer C,Month-to-Month,Yes
,0471-ARVMX,8/12/2018,62,Offer B,One Year,No
,0471-LVHGK,5/3/2020,41,None,One Year,Yes
,0475-RIJEP,3/4/2020,43,Offer B,Month-to-Month,No
,0479-HMSWA,7/27/2021,26,Offer C,Two Year,Yes
,0480-BIXDE,2/22/2022,19,Offer D,Month-to-Month,Yes
,0480-KYJVA,10/16/2017,72,None,Two Year,Yes
,0481-SUMCB,1/4/2020,45,Offer B,One Year,Yes
,0484-FFVBJ,1/28/2021,32,None,One Year,No
,0484-JPBRU,5/3/2020,41,None,Month-to-Month,No
,0485-ZBSLN,5/14/2018,65,None,Two Year,No
,0486-HECZI,3/10/2019,55,None,Month-to-Month,Yes
,0486-LGCCH,10/20/2022,11,Offer D,Two Year,No
,0487-CRLZF,9/6/2019,49,Offer B,Two Year,No
,0487-RPVUM,9/11/2018,61,None,Month-to-Month,No
,0487-VVUVK,8/26/2021,25,None,Month-to-Month,No
,0488-GSLFR,8/16/2023,1,None,Month-to-Month,No
,0489-WMEMG,10/25/2021,23,Offer D,One Year,No
,0491-KAPQG,12/24/2021,21,Offer D,Month-to-Month,Yes
,0495-RVCBF,8/16/2023,1,None,Month-to-Month,Yes
,0495-ZBNGW,4/18/2023,5,None,Month-to-Month,No
,0496-AHOOK,9/25/2021,24,Offer C,One Year,No
,0504-HHAPI,6/27/2021,27,None,Month-to-Month,No
,0505-SPOOW,12/15/2017,70,Offer A,Two Year,Yes
,0506-LVNGN,4/18/2023,5,None,Month-to-Month,No
,0506-YLVKJ,12/5/2019,46,None,Two Year,No
,0508-OOLTO,7/17/2023,2,None,Month-to-Month,Yes
,0508-SQWPL,1/9/2019,57,Offer B,Two Year,No
,0511-JTEOY,8/16/2023,1,Offer E,Month-to-Month,Yes
,0512-FLFDW,10/11/2018,60,None,One Year,No
,0513-RBGPE,8/31/2020,37,None,Two Year,No
,0515-YPMCW,8/16/2023,1,None,Month-to-Month,Yes
,0516-OOHAR,5/28/2021,28,None,One Year,Yes
,0516-QREYC,9/25/2021,24,None,Two Year,Yes
,0516-UXRMT,8/12/2018,62,None,One Year,Yes
,0516-VRYBW,3/24/2022,18,Offer D,One Year,No
,0516-WJVXC,4/18/2023,5,None,Month-to-Month,No
,0519-DRGTI,1/23/2022,20,None,Month-to-Month,Yes
,0519-XUZJU,8/16/2023,1,None,Month-to-Month,Yes
,0520-FDVVT,10/30/2020,35,None,One Year,Yes
,0523-VNGTF,6/8/2019,52,None,Two Year,No
,0524-IAVZO,3/29/2021,30,Offer C,Month-to-Month,No
,0526-SXDJP,10/16/2017,72,Offer A,Two Year,Yes
,0529-ONKER,6/22/2022,15,Offer D,Month-to-Month,Yes
,0530-IJVDB,12/15/2017,70,Offer A,Two Year,Yes
,0531-XBKMM,4/14/2018,66,None,Two Year,No
,0531-ZZJWQ,3/10/2019,55,None,Two Year,Yes
,0533-BNWKF,3/10/2019,55,Offer B,Month-to-Month,Yes
,0533-UCAAU,1/9/2019,57,None,One Year,No
,0536-ACXIP,10/16/2017,72,None,Two Year,No
,0536-BGFMZ,5/28/2021,28,None,Month-to-Month,Yes
,0536-ESJEP,4/9/2019,54,None,Two Year,No
,0537-QYZZN,9/25/2021,24,Offer C,Two Year,Yes
,0541-FITGH,7/17/2023,2,Offer E,Month-to-Month,No
,0547-HURJB,9/20/2022,12,Offer D,Month-to-Month,Yes
,0549-CYCQN,7/8/2019,51,None,One Year,Yes
,0550-DCXLH,8/21/2022,13,None,Month-to-Month,Yes
,0556-FJEGU,12/10/2018,58,Offer B,Two Year,No
,0557-ASKVU,3/24/2022,18,Offer D,One Year,Yes
,0559-CKHUS,4/28/2021,29,Offer C,Two Year,Yes
,0562-FGDCR,10/16/2017,72,None,Two Year,No
,0562-HKHML,11/15/2017,71,Offer A,Two Year,Yes
,0562-KBDVM,12/15/2017,70,Offer A,Two Year,No
,0564-JJHGS,12/19/2022,9,None,Month-to-Month,Yes
,0564-MUUQK,1/23/2022,20,None,Month-to-Month,No
,0565-IYCGT,1/14/2018,69,Offer A,One Year,Yes
,0565-JUPYD,7/13/2018,63,None,One Year,No
,0567-GGCAC,2/17/2023,7,None,Month-to-Month,No
,0567-XRHCU,1/14/2018,69,None,Two Year,Yes
,0568-ONFPC,4/18/2023,5,Offer E,Month-to-Month,No
,0570-BFQHT,12/19/2022,9,None,Month-to-Month,Yes
,0572-ZJKLT,12/5/2019,46,Offer B,Two Year,Yes
,0575-CUQOV,10/11/2018,60,Offer B,One Year,No
,0576-WNXXC,6/27/2021,27,None,Month-to-Month,Yes
,0577-WHMEV,5/23/2022,16,Offer D,Month-to-Month,No
,0578-SKVMF,11/24/2021,22,None,Month-to-Month,No
,0580-PIQHM,5/3/2020,41,Offer B,One Year,Yes
,0581-BXBUB,5/18/2023,4,None,Two Year,Yes
,0581-MDMPW,9/25/2021,24,Offer C,Month-to-Month,No
,0582-AVCLN,8/1/2020,38,None,Two Year,No
,0584-BJQGZ,8/26/2021,25,None,Month-to-Month,No
,0585-EGDDA,6/2/2020,40,Offer B,Month-to-Month,Yes
,0587-DMGBH,1/18/2023,8,None,Month-to-Month,Yes
,0594-UFTUL,8/21/2022,13,Offer D,Month-to-Month,No
,0595-ITUDF,6/13/2018,64,None,Month-to-Month,No
,0596-BQCEQ,8/12/2018,62,None,Month-to-Month,Yes
,0599-XNYDO,1/23/2022,20,None,Month-to-Month,Yes
,0601-WZHJF,7/22/2022,14,Offer D,Month-to-Month,No
,0602-DDUML,1/9/2019,57,None,Two Year,Yes
,0603-OLQDC,9/20/2022,12,Offer D,Month-to-Month,Yes
,0603-TPMIB,11/10/2018,59,Offer B,Two Year,No
,0604-THJFP,11/10/2018,59,Offer B,Two Year,No
,0607-DAAHE,5/9/2019,53,Offer B,Two Year,No
,0607-MVMGC,1/4/2020,45,None,One Year,No
,0608-JDVEC,8/7/2019,50,Offer B,Two Year,No
,0611-DFXKO,1/23/2022,20,Offer D,Month-to-Month,No
,0612-RTZZA,8/16/2023,1,Offer E,Month-to-Month,Yes
,0613-WUXUM,12/15/2017,70,None,Two Year,No
,0616-ATFGB,8/16/2023,1,Offer E,Month-to-Month,Yes
,0617-AQNWT,6/13/2018,64,None,Two Year,No
,0617-FHSGK,9/6/2019,49,None,Month-to-Month,Yes
,0618-XWMSS,5/28/2021,28,Offer C,Month-to-Month,Yes
,0619-OLYUR,10/16/2017,72,None,Two Year,Yes
,0620-DLSLK,8/21/2022,13,None,Month-to-Month,No
,0620-XEFWH,5/18/2023,4,Offer E,Month-to-Month,No
,0621-CXBKL,5/9/2019,53,Offer B,Two Year,Yes
,0621-HJWXJ,7/13/2018,63,Offer B,Month-to-Month,No
,0621-JFHOL,11/19/2022,10,Offer D,Two Year,No
,0621-TSSMU,2/8/2019,56,None,One Year,Yes
,0621-TWIEM,11/19/2022,10,Offer D,Month-to-Month,No
,0623-EJQEG,5/14/2018,65,Offer B,One Year,Yes
,0623-GDISB,8/16/2023,1,None,Month-to-Month,Yes
,0623-IIHUG,12/24/2021,21,None,Month-to-Month,Yes
,0625-AFOHS,4/28/2021,29,Offer C,Two Year,No
,0626-QXNGV,10/16/2017,72,None,Two Year,No
,0628-CNQRM,11/24/2021,22,None,One Year,No
,0634-SZPQA,10/25/2021,23,None,Month-to-Month,No
,0635-WKOLD,6/2/2020,40,Offer B,One Year,Yes
,0637-KVDLV,7/17/2023,2,Offer E,Month-to-Month,Yes
,0637-UBJRP,8/21/2022,13,Offer D,Month-to-Month,No
,0637-YLETY,5/23/2022,16,Offer D,Month-to-Month,Yes
,0639-TSIQW,3/15/2018,67,Offer A,Month-to-Month,No
,0640-YJTPY,10/16/2017,72,Offer A,Two Year,Yes
