Customer ID,Gender,Age,Married,Number of Dependents,City,Zip Code,Number of Referrals,Multiple Lines,Multiple Lines
0056-EPFBG,Male,33,Yes,1,Redding,96003,4,Yes,
0057-QBUQH,Female,31,No,3,San Martin,95046,0,Yes,Yes
0058-EVZWM,Female,37,Yes,0,Stockton,95209,2,No,Yes
0060-FUALY,Female,60,Yes,0,Los Angeles,90003,4,No,Yes
0064-SUDOG,Female,48,Yes,3,Huntington Park,90255,3,No,No
0064-YIJGF,Male,60,Yes,3,Yermo,92398,7,Yes,Yes
0067-DKWBL,Male,69,No,0,San Diego,92129,0,Yes,No
0068-FIGTF,Female,20,No,0,Fremont,94539,0,Yes,No
0071-NDAFP,Male,31,Yes,3,Santa Rosa,95405,1,Yes,Yes
0074-HDKDG,Male,46,Yes,0,San Jose,95126,5,No,No
0076-LVEPS,Male,57,No,1,Tujunga,91042,0,No,
0078-XZMHT,Male,19,Yes,0,Visalia,93291,5,No,Yes
0080-EMYVY,Female,64,No,0,Lodi,95240,0,No,No
0080-OROZO,Female,38,No,0,El Portal,95318,0,No,No
0082-LDZUE,Male,54,No,0,Calistoga,94515,0,Yes,No
0082-OQIQY,Male,50,No,0,Farmington,95230,0,No,No
0083-PIVIK,Male,25,No,0,Tulelake,96134,0,Yes,Yes
0089-IIQKO,Female,35,Yes,3,Coleville,96107,1,No,Yes
0093-EXYQL,Female,72,No,0,Ojai,93023,0,Yes,No
0093-XWZFY,Male,51,No,0,Desert Hot Springs,92241,0,Yes,Yes
0094-OIFMO,Female,78,No,1,North Hollywood,91605,0,Yes,No
0096-BXERS,Female,30,Yes,0,Inverness,94937,10,Yes,Yes
0096-FCPUF,Male,58,No,0,Santa Rosa,95404,0,No,Yes
0098-BOWSO,Male,26,No,0,San Jose,95131,0,No,No
0100-DUVFC,Male,66,Yes,0,Wilmington,90744,3,Yes,Yes
0103-CSITQ,Female,20,Yes,0,Modesto,95357,10,No,Yes
0104-PPXDV,Male,61,Yes,0,San Diego,92113,10,Yes,No
0106-GHRQR,Male,24,No,0,Rancho Palos Verdes,90275,0,No,Yes
0106-UGRDO,Female,55,Yes,0,Kenwood,95452,3,No,Yes
0107-WESLM,Male,32,No,0,West Point,95255,0,Yes,No
0107-YHINA,Male,59,No,0,Los Angeles,90062,0,Yes,Yes
0111-KLBQG,Male,71,Yes,1,Morongo Valley,92256,9,Yes,No
0112-QAWRZ,Male,49,Yes,2,Palo Verde,92266,8,No,Yes
0112-QWPNC,Male,61,Yes,0,Valyermo,93563,1,No,Yes
0114-IGABW,Female,40,Yes,0,Cambria,93428,2,Yes,
0114-PEGZZ,Female,39,No,0,Round Mountain,96084,0,No,Yes
0114-RSRRW,Female,21,Yes,0,Klamath,95548,9,No,No
0115-TFERT,Male,24,Yes,0,Fresno,93650,1,No,Yes
0117-LFRMW,Male,52,Yes,1,Angwin,94508,1,Yes,
0118-JPNOY,Female,71,No,0,Le Grand,95333,0,Yes,No
0121-SNYRK,Male,45,No,0,Redway,95560,0,No,
0122-OAHPZ,Female,29,No,0,San Diego,92122,0,Yes,Yes
0123-CRBRT,Female,62,Yes,0,Monterey Park,91755,1,No,Yes
0125-LZQXK,Male,42,No,0,Big Oak Flat,95305,0,No,No
0128-MKWSG,Female,51,No,2,Stevenson Ranch,91381,0,No,
0129-KPTWJ,Male,39,Yes,0,North Highlands,95660,9,No,No
0129-QMPDR,Male,64,Yes,0,La Puente,91746,1,Yes,No
0130-SXOUN,Male,55,No,0,Glenhaven,95443,0,No,Yes
0133-BMFZO,Female,40,No,0,Alhambra,91803,0,No,No
0134-XWXCE,Female,76,No,0,Santa Monica,90403,0,Yes,No
0135-NMXAP,Female,57,No,0,Lodi,95240,0,No,Yes
0136-IFMYD,Male,71,Yes,0,Los Angeles,90001,1,No,Yes
0137-OCGAB,Female,25,No,0,Fairfield,94533,0,No,Yes
0137-UDEUO,Female,24,No,0,Stockton,95204,0,Yes,No
0139-IVFJG,Female,19,Yes,0,Temecula,92592,10,No,No
0141-YEAYS,Female,77,No,0,Fallbrook,92028,0,No,Yes
0142-GVYSN,Male,57,No,0,Randsburg,93554,0,Yes,No
0147-ESWWR,Female,73,Yes,0,Atascadero,93422,9,Yes,Yes
0148-DCDOS,Male,41,No,0,Planada,95365,0,Yes,Yes
0151-ONTOV,Female,43,No,0,Moorpark,93021,0,Yes,No
0156-FVPTA,Male,48,Yes,0,Solvang,93463,1,Yes,No
0164-APGRB,Female,56,No,0,Calistoga,94515,0,Yes,Yes
0164-XAIRP,Female,51,No,0,La Mirada,90638,0,Yes,No
0168-XZKBB,Female,34,Yes,0,Boron,93516,8,No,Yes
0174-QRVVY,Male,21,Yes,2,San Marcos,92078,2,No,Yes
0177-PXBAT,Male,78,Yes,0,Desert Center,92239,7,Yes,Yes
0178-CIIKR,Female,60,No,0,Crows Landing,95313,0,No,No
0178-SZBHO,Male,54,Yes,1,Tuolumne,95379,7,Yes,Yes
0181-RITDD,Male,42,Yes,3,San Diego,92120,2,Yes,No
0186-CAERR,Male,22,No,0,Auburn,95603,0,No,Yes
0187-QSXOE,Male,71,Yes,0,Fresno,93725,8,No,No
0187-WZNAB,Female,56,Yes,2,Del Rey,93616,6,No,No
0188-GWFLE,Male,33,No,0,Redwood City,94065,0,Yes,No
0191-EQUUH,Female,32,No,3,Landers,92285,0,Yes,
0191-ZHSKZ,Male,80,No,0,Hawthorne,90250,0,Yes,No
0193-ESZXP,Female,73,Yes,0,Oceano,93445,1,No,No
0195-IESCP,Male,26,Yes,0,Armona,93202,1,Yes,Yes
0196-JTUQI,Female,59,No,0,Clarksburg,95612,0,No,Yes
0196-VULGZ,Female,78,Yes,0,Irvine,92620,1,No,Yes
0197-PNKNK,Female,47,Yes,1,Scotts Valley,95066,7,No,Yes
0201-MIBOL,Female,68,No,0,Salida,95368,0,Yes,Yes
0201-OAMXR,Female,30,No,0,Mckinleyville,95519,0,Yes,Yes
0203-HHYIJ,Male,62,No,0,Atherton,94027,0,No,Yes
0206-OYVOC,Female,52,Yes,2,Huntington Beach,92649,1,No,No
0206-TBWLC,Female,63,Yes,0,Calimesa,92320,7,No,Yes
0207-MDKNV,Female,54,No,0,Daly City,94014,0,Yes,No
0208-BPQEJ,Female,48,Yes,1,Middletown,95461,0,Yes,No
0212-ISBBF,Female,51,No,0,Berkeley,94705,0,No,
0214-JHPFW,Female,22,Yes,0,Lost Hills,93249,9,No,
0215-BQKGS,Male,52,No,0,Garden Grove,92844,0,Yes,No
0218-QNVAS,Male,22,Yes,1,Indio,92203,1,No,Yes
0219-QAERP,Male,33,Yes,0,Oxnard,93033,2,No,No
0219-YTZUE,Male,26,Yes,0,San Diego,92122,5,Yes,Yes
0220-EBGCE,Male,58,No,0,Escondido,92027,0,No,No
0221-NAUXK,Male,22,No,1,Moreno Valley,92553,0,Yes,No
0221-WMXNQ,Male,66,No,0,Chino,91710,0,Yes,No
0222-CNVPT,Male,69,No,0,Sacramento,95820,0,No,
0224-HJAPT,Male,25,No,0,San Diego,92117,0,Yes,Yes
0224-NIJLP,Male,30,Yes,3,Turlock,95380,1,Yes,No
0224-RLWWD,Female,73,No,0,Calexico,92231,0,Yes,No
0225-ZORZP,Male,46,No,0,Groveland,95321,0,No,No
0228-MAUWC,Male,40,No,0,Los Gatos,95033,0,No,Yes
0229-LFJAF,Male,53,No,0,Clovis,93611,0,Yes,Yes
0230-UBYPQ,Male,76,Yes,0,Hyampom,96046,2,No,
0230-WEQUW,Male,38,Yes,0,Woodland Hills,91364,1,No,
0231-LXVAP,Male,23,No,0,Temecula,92592,0,Yes,No
0233-FTHAV,Female,24,No,0,Livingston,95334,0,No,Yes
0234-TEVTT,Female,43,Yes,3,Tulare,93274,3,Yes,
0235-KGSLC,Female,45,No,0,Buellton,93427,0,Yes,No
0236-HFWSV,Male,49,No,0,Palmdale,93552,0,No,Yes
0237-YFUTL,Female,62,Yes,0,Midway City,92655,4,Yes,Yes
0238-WHBIQ,Male,25,Yes,1,Folsom,95630,10,Yes,Yes
0239-OXEXL,Female,37,No,0,Oakland,94619,0,Yes,Yes
0244-LGNFY,Female,35,Yes,1,San Anselmo,94960,4,No,Yes
0247-SLUJI,Male,37,Yes,3,Duarte,91010,2,Yes,No
0248-IPDFW,Female,19,No,0,Lake Elsinore,92530,0,No,Yes
0248-PGHBZ,Female,69,No,0,San Clemente,92672,0,No,No
0253-ZTEOB,Female,44,Yes,1,Los Angeles,90004,5,Yes,Yes
0254-FNMCI,Female,19,No,0,Downey,90241,0,Yes,No
0254-KCJGT,Male,64,Yes,0,Bodega Bay,94923,6,No,Yes
0254-WWRKD,Female,44,Yes,3,Challenge,95925,1,Yes,No
0256-LTHVJ,Female,58,Yes,0,Ludlow,92338,1,Yes,No
0257-KXZGU,Female,29,Yes,1,Santa Clara,95051,9,No,Yes
0257-ZESQC,Female,80,Yes,0,Perris,92571,2,No,No
0258-NOKBL,Male,22,No,0,Fortuna,95540,0,Yes,No
0259-GBZSH,Male,22,No,0,San Diego,92122,0,Yes,Yes
0260-ZDLGK,Female,50,No,2,San Dimas,91773,0,Yes,No
0263-FJTQO,Male,53,Yes,2,Rescue,95672,10,Yes,Yes
0264-CNITK,Female,45,Yes,2,Clio,96106,1,No,No
0265-EDXBD,Male,76,Yes,0,San Diego,92122,2,Yes,Yes
0265-PSUAE,Female,57,Yes,3,Lotus,95651,10,Yes,No
0266-CLZKZ,Female,45,Yes,3,San Marcos,92078,8,No,Yes
0266-GMEAO,Male,43,Yes,1,Lompoc,93436,1,Yes,Yes
0268-QKIWO,Female,41,No,0,Pilot Hill,95664,0,No,No
0269-XFESX,Male,22,Yes,3,San Francisco,94133,1,No,Yes
0270-THENM,Male,62,Yes,2,Mission Hills,91345,1,No,Yes
0274-JKUJR,Male,21,Yes,2,Los Angeles,90040,9,No,
0277-BKSQP,Male,49,Yes,3,Harbor City,90710,10,No,No
0277-ORXQS,Male,33,Yes,4,San Francisco,94108,9,No,
0278-YXOOG,Male,30,No,0,Inglewood,90301,0,Yes,No
0280-XJGEX,Male,38,No,1,Los Angeles,90015,0,No,Yes
0281-CNTZX,Male,56,Yes,0,Pescadero,94060,2,No,No
0282-NVSJS,Female,70,Yes,1,Aromas,95004,1,No,
0285-INHLN,Male,54,Yes,6,Badger,93603,5,No,No
0289-IVARM,Female,57,No,0,Parlier,93648,0,Yes,No
0292-WEGCH,Female,40,Yes,2,Death Valley,92328,7,No,Yes
0295-PPHDO,Male,56,No,0,La Puente,91744,0,Yes,Yes
0295-QVKPB,Male,38,No,0,Riverdale,93656,0,No,No
0297-RBCSG,Male,61,No,0,San Francisco,94104,0,Yes,No
0298-XACET,Male,35,Yes,2,Berry Creek,95916,1,Yes,
0301-FIDRB,Female,61,Yes,3,Fulton,95439,8,No,
0301-KOBTQ,Male,50,No,0,Capitola,95010,0,Yes,No
0302-JOIVN,Female,47,Yes,0,San Diego,92109,1,Yes,No
0303-UNCIP,Male,35,No,0,Claremont,91711,0,Yes,Yes
0303-WMMRN,Male,32,No,0,Glendale,91207,0,No,No
0305-SQECB,Female,54,No,1,Gardena,90248,0,No,
0306-JAELE,Male,61,No,0,Fallbrook,92028,0,Yes,No
0307-BCOPK,Female,62,No,0,San Francisco,94134,0,No,No
0308-GIQJT,Male,80,No,0,San Diego,92126,0,Yes,Yes
0308-IVGOK,Female,23,No,0,Santa Ana,92703,0,Yes,
0310-MVLET,Female,63,Yes,0,Snelling,95369,1,No,Yes
0310-SUCIN,Female,50,Yes,0,Darwin,93522,2,Yes,No
0310-VQXAM,Male,56,No,0,San Bernardino,92404,0,No,No
0311-QYWSS,Female,63,No,0,Garberville,95542,0,No,No
0311-UNPFF,Female,58,No,0,Long Beach,90807,0,Yes,No
0314-TKOSI,Female,29,No,0,Upland,91784,0,No,No
0315-LVCRK,Male,54,No,0,El Dorado Hills,95762,0,Yes,No
0318-QUUOB,Male,25,Yes,0,Santa Rosa,95403,1,Yes,No
0318-ZOPWS,Female,31,Yes,0,Malibu,90265,10,No,No
0319-QZTCO,Female,25,Yes,2,Santa Rosa,95401,9,Yes,No
0320-DWVTU,Female,46,No,0,Riverdale,93656,0,No,No
0320-JDNQG,Male,28,Yes,0,Oxnard,93035,1,No,No
0322-CHQRU,Male,63,No,0,Palmdale,93591,0,Yes,No
0322-YINQP,Male,37,No,0,Covina,91723,0,No,No
0323-XWWTN,Male,44,No,1,San Lucas,93954,0,No,Yes
0324-BRPCJ,Female,74,Yes,0,Palmdale,93591,1,No,Yes
0325-XBFAC,Male,44,No,0,Hoopa,95546,0,No,No
0326-VDYXE,Female,21,Yes,0,Long Beach,90802,9,No,Yes
0327-WFZSY,Male,62,Yes,3,Samoa,95564,9,No,Yes
0328-GRPMV,Female,43,No,0,Burnt Ranch,95527,0,No,No
0329-GTIAJ,Female,40,No,0,Garden Grove,92844,0,Yes,No
0330-BGYZE,Male,48,Yes,0,Milford,96121,8,Yes,Yes
0330-IVZHA,Female,55,Yes,0,Anderson,96007,1,Yes,No
0334-GDDSO,Male,77,No,0,San Diego,92122,0,No,Yes
0334-ZFJSR,Female,41,Yes,0,San Diego,92123,0,Yes,Yes
0336-KXKFK,Male,43,No,0,Santa Margarita,93453,0,No,
0336-PIKEI,Male,69,Yes,0,Orange,92869,7,No,No
0337-CNPZE,Female,63,No,0,Los Angeles,90033,0,No,Yes
0343-QLUZP,Male,38,No,0,San Jose,95111,0,Yes,
0345-HKJVM,Female,43,No,0,San Diego,92109,0,Yes,No
0345-XMMUG,Female,29,Yes,0,Ione,95640,6,Yes,Yes
0347-UBKUZ,Female,46,No,0,San Mateo,94404,0,Yes,No
0348-SDKOL,Female,33,Yes,0,San Diego,92117,1,No,Yes
0354-VXMJC,Male,60,Yes,3,Los Angeles,90034,10,No,No
0354-WYROK,Female,70,Yes,0,San Francisco,94130,1,Yes,No
0356-ERHVT,Male,54,Yes,0,Santa Cruz,95062,1,No,No
0356-OBMAC,Female,80,No,0,Winchester,92596,0,Yes,Yes
0357-NVCRI,Female,41,No,3,El Cajon,92021,0,Yes,No
0361-HJRDX,Female,38,No,0,Sherman Oaks,91403,0,No,
0362-RAOQO,Female,48,No,0,Norco,92860,0,No,No
0362-ZBZWJ,Male,46,No,0,Thornton,95686,0,No,Yes
0363-QJVFX,Male,22,No,0,Lake Hughes,93532,0,Yes,Yes
0363-SVHYR,Male,28,Yes,3,Paramount,90723,10,No,Yes
0365-BZUWY,Male,58,Yes,0,San Juan Capistrano,92675,2,Yes,Yes
0365-GXEZS,Male,55,Yes,0,Copperopolis,95228,6,No,No
0365-TRTPY,Female,52,No,0,Covina,91724,0,No,Yes
0366-NQSHS,Male,42,No,0,Colusa,95932,0,No,No
0369-ZGOVK,Female,56,Yes,2,Cypress,90630,6,No,No
0373-AIVNJ,Male,34,No,0,Sacramento,95814,0,Yes,
0374-AACSZ,Female,63,No,0,Lancaster,93534,0,Yes,No
0374-FIUCA,Male,59,Yes,0,Orange,92867,1,No,No
0374-IOEGQ,Female,62,No,0,Gonzales,93926,0,Yes,No
0375-HVGXO,Female,31,No,0,Los Angeles,90045,0,No,
0376-OIWME,Male,24,Yes,0,San Ysidro,92173,3,Yes,No
0376-YMCJC,Male,21,No,0,Novato,94949,0,No,Yes
0377-JBKKT,Male,21,Yes,3,Gilroy,95020,9,Yes,No
0378-CJKPV,Female,56,Yes,0,Oak Park,91377,1,No,Yes
0378-NHQXU,Female,31,Yes,0,South San Francisco,94080,7,No,Yes
0378-TOVMS,Female,20,No,0,Vernalis,95385,0,Yes,No
0378-XSZPU,Male,31,Yes,0,San Jose,95117,1,Yes,No
0379-DJQHR,Male,60,Yes,0,Sunnyvale,94089,1,No,No
0380-NEAVX,Male,72,No,0,Newport Beach,92660,0,Yes,No
0380-ZCSBI,Male,56,No,0,San Francisco,94133,0,No,No
0383-CLDDA,Female,42,No,0,Stanford,94305,0,No,Yes
0384-LPITE,Male,38,No,0,Los Angeles,90041,0,Yes,
0384-RVBPI,Male,64,No,0,Turlock,95380,0,Yes,No
0386-CWRGM,Female,61,Yes,1,Beverly Hills,90210,9,Yes,No
0388-EOPEX,Female,28,Yes,0,Riverside,92503,1,No,No
0390-DCFDQ,Female,76,Yes,2,Los Alamitos,90720,1,No,No
0392-BZIUW,Female,44,Yes,0,Fresno,93710,7,No,Yes
0394-YONDK,Male,28,Yes,3,Escondido,92025,0,Yes,Yes
0396-HUJBP,Female,34,No,0,Gardena,90247,0,No,No
0396-UKGAI,Male,25,No,3,Encinitas,92024,0,No,No
0396-YCHWO,Male,58,Yes,0,Sacramento,95829,4,Yes,Yes
0397-GZBBC,Male,70,Yes,0,South Dos Palos,93665,0,Yes,Yes
0397-ZXWQF,Male,24,No,0,Orick,95555,0,No,No
0401-WDBXM,Male,22,Yes,3,San Jose,95118,4,No,Yes
0402-CQAJN,Female,22,No,0,El Monte,91732,0,Yes,Yes
0402-OAMEN,Female,36,Yes,1,Spreckels,93962,4,Yes,Yes
0404-AHASP,Male,23,Yes,0,Beverly Hills,90212,10,Yes,No
0404-SWRVG,Male,21,No,2,La Habra,90631,0,No,Yes
0406-BPDVR,Female,75,Yes,0,Visalia,93277,0,No,Yes
0407-BDJKB,Male,59,Yes,0,San Francisco,94114,1,No,Yes
0409-WTMPL,Female,35,Yes,0,Whittier,90602,8,No,Yes
0410-IPFTY,Female,64,Yes,0,Long Beach,90822,1,No,No
0411-EZJZE,Female,62,No,0,Stockton,95215,0,No,Yes
0412-UCCNP,Male,20,No,0,Essex,92332,0,Yes,No
0415-MOSGF,Female,58,No,0,Los Gatos,95030,0,No,No
0419-YAAPX,Male,44,Yes,0,Grass Valley,95949,1,No,No
0420-BWTPW,Male,40,No,0,San Diego,92117,0,Yes,
0420-HLGXF,Female,72,No,0,Visalia,93291,0,Yes,Yes
0420-TXVSG,Male,43,Yes,0,San Jose,95112,9,No,Yes
0422-OHQHQ,Female,23,Yes,0,Fresno,93722,7,No,No
0422-UXFAP,Female,34,Yes,0,San Diego,92117,1,Yes,Yes
0423-UDIJQ,Male,74,No,0,Snelling,95369,0,No,No
0426-TIRNE,Female,54,No,0,Encino,91316,0,Yes,No
0428-AXXLJ,Male,29,No,0,Bellflower,90706,0,No,No
0428-IKYCP,Male,56,Yes,0,Sonora,95370,9,No,No
0430-IHCDJ,Male,40,No,0,Highland,92346,0,No,Yes
0431-APWVY,Female,37,Yes,0,Novato,94949,1,Yes,No
0432-CAJZV,Male,47,No,0,Temecula,92592,0,Yes,No
0434-CSFON,Female,34,Yes,0,Los Angeles,90071,3,Yes,Yes
0436-TWFFZ,Female,21,No,0,Long Beach,90805,0,No,Yes
0439-IFYUN,Female,78,No,0,Escondido,92027,0,Yes,No
0440-EKDCF,Male,47,Yes,0,Herlong,96113,1,No,No
0440-MOGPM,Female,51,No,0,Petaluma,94954,0,Yes,Yes
0440-QEXBZ,Female,64,No,0,Mojave,93501,0,Yes,Yes
0440-UEDAI,Female,59,No,0,Callahan,96014,0,Yes,No
0442-TDYUO,Male,44,Yes,0,Bodega,94922,4,No,No
0442-ZXKVS,Female,79,Yes,0,Denair,95316,2,No,Yes
0447-BEMNG,Female,28,Yes,0,Wrightwood,92397,3,No,
0447-RXSGD,Male,39,No,0,Monterey,93940,0,Yes,Yes
0454-OKRCT,Male,32,No,0,Palo Alto,94301,0,No,No
0455-ENTCR,Male,58,Yes,0,Jamestown,95327,1,Yes,Yes
0455-XFASS,Female,61,Yes,2,Campbell,95008,3,No,No
0458-HEUZG,Female,58,No,0,Alderpoint,95511,0,Yes,
0459-SPZHJ,Male,19,Yes,0,Garden Grove,92843,1,Yes,Yes
0461-CVKMU,Female,45,Yes,0,Oak Run,96069,0,No,No
0463-TXOAK,Male,26,No,1,Madison,95653,0,No,Yes
0463-WZZKO,Male,23,No,0,Van Nuys,91406,0,No,No
0463-ZSDNT,Male,23,No,0,Escondido,92026,0,Yes,No
0464-WJTKO,Female,39,Yes,2,Cedarville,96104,10,Yes,No
0468-YRPXN,Male,62,No,0,Lomita,90717,0,No,No
0471-ARVMX,Female,70,Yes,0,Kelseyville,95451,8,No,Yes
0471-LVHGK,Male,34,Yes,0,Orangevale,95662,1,No,Yes
0475-RIJEP,Male,47,No,0,Pinecrest,95364,0,No,Yes
0479-HMSWA,Female,63,No,1,San Clemente,92672,0,Yes,No
0480-BIXDE,Female,58,Yes,0,Beale Afb,95903,9,Yes,No
0480-KYJVA,Female,42,Yes,3,Sacramento,95835,8,No,Yes
0481-SUMCB,Female,74,No,0,Greenville,95947,0,Yes,Yes
0484-FFVBJ,Male,43,No,0,Fort Bragg,95437,0,No,No
0484-JPBRU,Male,23,No,0,Petaluma,94954,0,No,Yes
0485-ZBSLN,Male,52,Yes,2,Mecca,92254,4,No,Yes
0486-HECZI,Male,37,Yes,1,Torrance,90504,0,Yes,Yes
0486-LGCCH,Male,48,Yes,2,Victorville,92394,2,No,No
0487-CRLZF,Female,58,No,0,Poway,92064,0,No,No
0487-RPVUM,Male,49,Yes,0,Mount Hermon,95041,1,No,Yes
0487-VVUVK,Male,49,Yes,2,Santa Barbara,93109,5,Yes,No
0488-GSLFR,Female,41,No,0,Taylorsville,95983,0,Yes,No
0489-WMEMG,Female,61,No,3,Korbel,95550,0,Yes,No
0491-KAPQG,Male,28,No,0,Pine Valley,91962,0,No,Yes
0495-RVCBF,Female,39,No,0,Santa Rosa,95401,0,No,No
0495-ZBNGW,Male,78,Yes,0,Loma Mar,94021,1,No,Yes
0496-AHOOK,Male,61,Yes,0,Bangor,95914,10,No,No
0504-HHAPI,Female,72,No,0,Guinda,95637,0,Yes,Yes
0505-SPOOW,Female,41,Yes,0,Riverside,92508,7,Yes,No
0506-LVNGN,Female,78,No,0,Rancho Cordova,95742,0,No,No
0506-YLVKJ,Male,54,Yes,1,Sultana,93666,1,No,No
0508-OOLTO,Female,33,Yes,1,Fort Irwin,92310,5,Yes,No
0508-SQWPL,Female,32,Yes,3,La Mesa,91941,9,No,No
0511-JTEOY,Female,41,No,0,Canyon Dam,95923,0,No,No
0512-FLFDW,Female,74,Yes,0,Palomar Mountain,92060,3,No,Yes
0513-RBGPE,Male,57,Yes,0,Rancho Santa Fe,92091,6,No,Yes
0515-YPMCW,Male,42,No,0,San Jose,95116,0,No,No
0516-OOHAR,Male,39,Yes,2,Topanga,90290,8,No,No
0516-QREYC,Female,78,No,0,Capay,95607,0,Yes,No
0516-UXRMT,Female,27,No,0,Oxnard,93033,0,No,Yes
0516-VRYBW,Female,39,No,0,Stanton,90680,0,No,No
0516-WJVXC,Female,21,No,0,Sacramento,95818,0,No,No
0519-DRGTI,Female,58,Yes,3,Stockton,95219,9,No,No
0519-XUZJU,Female,56,No,0,Felton,95018,0,No,No
0520-FDVVT,Male,26,No,0,Lewiston,96052,0,No,No
0523-VNGTF,Female,78,No,0,Sun Valley,91352,0,Yes,
0524-IAVZO,Female,25,Yes,0,Anza,92539,1,No,Yes
0526-SXDJP,Male,36,Yes,0,Bell,90201,7,Yes,
0529-ONKER,Male,70,No,0,Forest Ranch,95942,0,No,Yes
0530-IJVDB,Male,36,No,2,Jamul,91935,0,Yes,Yes
0531-XBKMM,Male,37,No,2,Azusa,91702,0,Yes,Yes
0531-ZZJWQ,Male,68,Yes,0,Fallbrook,92028,6,No,Yes
0533-BNWKF,Female,66,Yes,0,San Diego,92122,2,Yes,Yes
0533-UCAAU,Male,72,Yes,0,Montgomery Creek,96065,2,Yes,Yes
0536-ACXIP,Female,34,Yes,0,Lodi,95242,9,No,Yes
0536-BGFMZ,Female,27,Yes,0,Leggett,95585,3,No,No
0536-ESJEP,Male,48,Yes,0,Rough And Ready,95975,8,Yes,No
0537-QYZZN,Male,66,Yes,2,Petaluma,94952,6,Yes,Yes
0541-FITGH,Female,59,Yes,0,Hornitos,95325,6,Yes,No
0547-HURJB,Male,19,No,2,Dixon,95620,0,No,No
0549-CYCQN,Male,69,No,0,Flournoy,96029,0,Yes,Yes
0550-DCXLH,Male,64,No,0,Thermal,92274,0,Yes,No
0556-FJEGU,Male,26,No,0,Lafayette,94549,0,No,No
0557-ASKVU,Female,43,Yes,0,Beverly Hills,90210,2,No,No
0559-CKHUS,Female,44,Yes,0,Pleasanton,94588,6,No,No
0562-FGDCR,Female,61,Yes,3,Whitmore,96096,9,No,Yes
0562-HKHML,Male,39,Yes,1,Alameda,94502,9,Yes,Yes
0562-KBDVM,Female,62,No,0,Herald,95638,0,Yes,
0564-JJHGS,Male,45,No,0,Guerneville,95446,0,No,Yes
0564-MUUQK,Female,28,Yes,2,Imperial Beach,91932,5,No,Yes
0565-IYCGT,Male,51,No,0,San Diego,92117,0,No,Yes
0565-JUPYD,Male,26,No,0,Benicia,94510,0,No,Yes
0567-GGCAC,Female,38,No,0,Biola,93606,0,Yes,No
0567-XRHCU,Female,19,Yes,1,Los Angeles,90049,7,Yes,
0568-ONFPC,Male,34,Yes,1,San Francisco,94112,1,Yes,Yes
0570-BFQHT,Female,38,No,0,Anderson,96007,0,Yes,No
0572-ZJKLT,Female,32,Yes,1,Chester,96020,10,No,Yes
0575-CUQOV,Male,76,Yes,0,Hilmar,95324,10,No,No
0576-WNXXC,Male,70,Yes,0,Parlier,93648,1,No,Yes
